Tuvalu,Baby Food,5/28/2010,669165933
Grenada,Snacks,8/22/2012,963881480
Russia,Office Supplies,5/2/2014,341417157
Sao Tome and Principe,Fruits,6/20/2014,514321792
Solomon Islands,Baby Food,2/4/2015,547995746
Angola,Household,4/23/2011,135425221
Burkina Faso,Vegetables,7/17/2012,871543967
Republic of the Congo,Personal Care,7/14/2015,770463311
Senegal,Cereal,4/18/2014,616607081
Kyrgyzstan,Clothes,6/24/2011,814711606
Cape Verde,Meat,8/2/2014,939825713
Bangladesh,Beverages,1/13/2017,187310731
Honduras,Milk,2/8/2017,522840487
Mongolia,Cosmetics,2/19/2014,832401311
Bulgaria,Personal,4/23/2012,972292029
